Id da Instalação;Id do Equipamento;Nome;Tipo do Equipamento;Id Tipo de Rede;Tipo de Rede;Agente Proprietário;Data Prevista;Data Entrada;Data de Necessidade do SIN
SPCAV ;SPCAV-1BC1          ;BC  138 kV   50 Mvar CABREUVA                  1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;31/05/2009;01/02/2009;28/02/2006
SPCAV ;SPCAV-2BC2          ;BC  230 kV  100 Mvar CABREUVA                 2A SP                     ;BCP;BAS;BASICA         ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;11/09/2015;06/09/2015;31/10/2015
SPCAV ;SPCAV-2BC3          ;BC  230 kV  100 Mvar CABREUVA                 2B SP                     ;BCP;BAS;BASICA         ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;11/09/2015;06/09/2015;31/10/2015
SPCBO ;SPCBO-1BC1          ;BC  138 kV   30 Mvar CAPAO BONITO              1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;28/08/2001;
SPCBO ;SPCBO-1BC2          ;BC  138 kV   30 Mvar CAPAO BONITO              2 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;28/08/2001;
SPCBO ;SPCBO-1BC4          ;BC  138 kV   44 Mvar CAPAO BONITO              4 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;29/12/2022;27/01/2023;
SPCBO ;SPCBO-2BC3          ;BC  230 kV   30 Mvar CAPAO BONITO              3 SP                     ;BCP;BAS;BASICA         ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;06/01/2017;02/12/2016;31/01/2016
SPCCL ;SPCCL-0BC1          ;BC 13P8 kV 10P4 Mvar CARBOCLORO                1 SP                     ;BCP;SUP;SUPERVISAO     ;UNIPAR CARBOCLORO SA                                           ;;14/03/2005;
SPCCL ;SPCCL-0BC2          ;BC 13P8 kV 10P4 Mvar CARBOCLORO                2 SP                     ;BCP;SUP;SUPERVISAO     ;UNIPAR CARBOCLORO SA                                           ;;14/03/2005;
SPCEQ ;SPCEQ-1BC1          ;BC  138 kV   50 Mvar CERQUILHO III             3 SP                     ;BCP;COM;COMPLEMENTAR   ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;31/07/2014;05/08/2014;31/07/2010
SPCEQ ;SPCEQ-1BC2          ;BC  138 kV   50 Mvar CERQUILHO III             2 SP                     ;BCP;COM;COMPLEMENTAR   ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;31/07/2014;05/08/2014;31/07/2010
SPCRA ;SPCRA-1BCA          ;BC  138 kV 18P2 Mvar CRAVINHOS               BCA SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;31/12/1990;;
SPCST3;SPCST3001           ;BC 34P5 kV   15 Mvar CASTILHO 03              01 SP                     ;BCP;SUP;SUPERVISAO     ;CASTILHO SOLAR PARTICIPACOES S.A.                              ;31/07/2022;29/12/2022;
SPCST3;SPCST30BC02         ;BC 34P5 kV   15 Mvar CASTILHO 03              02 SP                     ;BCP;SUP;SUPERVISAO     ;CASTILHO SOLAR PARTICIPACOES S.A.                              ;31/07/2022;29/12/2022;
SPCTR ;SPCTR-0BC1          ;BC   88 kV   21 Mvar CENTRO-CTR                1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPCTR ;SPCTR-0BC3A         ;BC   20 kV  8P1 Mvar CENTRO-CTR               3A SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPCTR ;SPCTR-0BC3B         ;BC   20 kV  8P1 Mvar CENTRO-CTR               3B SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPCTR ;SPCTR-0BC4A         ;BC   20 kV  8P1 Mvar CENTRO-CTR               4A SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPCTR ;SPCTR-0BC4B         ;BC   20 kV  8P1 Mvar CENTRO-CTR               4B SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPDRA ;SPDRA-1BC1          ;BC  138 kV   30 Mvar DRACENA                   1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;31/10/2009;31/10/2009;
SPEMG ;SPEMG-1BC1          ;BC  138 kV  100 Mvar EMBU-GUACU                1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;22/08/2011;19/08/2011;
SPEMG ;SPEMG-1BC2          ;BC  138 kV  100 Mvar EMBU-GUACU                2 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;22/08/2011;19/08/2011;
SPESO ;SPESO-0BC1          ;BC   88 kV   63 Mvar EDGARD SOUZA              1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPFLP ;SPFLP-1BC1          ;BC  138 kV   30 Mvar FLOR.PAULISTA             1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;15/08/2009;31/12/1990;
SPGET ;SPGET-1BC1          ;BC  138 kV   50 Mvar GETULINA                 1A SP                     ;BCP;COM;COMPLEMENTAR   ;INTERLIGACAO ELETRICA JAGUAR 9 S.A                             ;28/02/2016;30/01/2016;
SPIGP ;SPIGU-1BC1          ;BC  138 kV   45 Mvar IGUAPE                    1 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;31/12/1990;
SPINT ;SPINT-3BC1          ;BC  345 kV  150 Mvar INTERLAGOS               2A SP                     ;BCP;BAS;BASICA         ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;15/07/2011;28/07/2011;30/09/2007
SPINT ;SPINT-3BC2          ;BC  345 kV  200 Mvar INTERLAGOS               1A SP                     ;BCP;BAS;BASICA         ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;15/07/2011;29/07/2011;30/09/2007
SPITB ;SPITB-1BC1          ;BC  138 kV   15 Mvar ITAMBE                    1 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;31/12/1990;
SPITB ;SPITB-1BC2          ;BC  138 kV   15 Mvar ITAMBE                    2 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;31/12/1990;
SPITE ;SPITE-0BC1          ;BC   88 kV 28P8 Mvar ITAPETI                   1 SP                     ;BCP;SUP;SUPERVISAO     ;INTERLIGAÇÃO ELÉTRICA ITAPURA S.A.                             ;09/08/2013;09/08/2013;31/07/2012
SPITE ;SPITE-0BC2          ;BC   88 kV 28P8 Mvar ITAPETI                   2 SP                     ;BCP;SUP;SUPERVISAO     ;INTERLIGAÇÃO ELÉTRICA ITAPURA S.A.                             ;09/08/2013;28/10/2013;31/07/2012
SPITP2;SPITP21BC1          ;BC  138 kV   15 Mvar ITAPETININGA2             1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPITP2;SPITP21BC2          ;BC  138 kV   15 Mvar ITAPETININGA2             2 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPITR2;SPITR211            ;BC  138 kV   30 Mvar ITARARE II                1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;30/12/1990;
